Stock,Signal,Timestamp,Price,EMA5,EMA20,RSI,MACD,MACD Signal
COALINDIA.NS,SELL,2025-02-27 09:15:00+05:30,360.1499938964844,360.99529925670356,361.0860942589688,38.55731681185351,0.021981359859410077,0.06766979009755439
COALINDIA.NS,SELL,2025-02-28 12:10:00+05:30,371.6000061035156,372.24343848223407,372.3797569884731,46.77098587736807,0.4307447619786444,0.7588323391771024
COALINDIA.NS,SELL,2025-02-28 15:00:00+05:30,369.45001220703125,370.5884012849487,370.6010271135709,42.14810293079997,0.2011873499009198,0.2479499895176936
DRREDDY.NS,SELL,2025-02-21 14:35:00+05:30,1149.449951171875,1150.3494162046788,1150.5290133556261,46.84872769521388,0.025790736960288996,0.07324849511378735
DRREDDY.NS,SELL,2025-02-24 13:20:00+05:30,1166.3499755859375,1167.62345781596,1168.00311337756,46.04952477803938,0.5768867490016873,1.101194822659723
DRREDDY.NS,BUY,2025-02-27 10:50:00+05:30,1129.5,1129.0333536209582,1128.9762693460614,49.936340014245324,-0.6934607592547763,-1.1849755014175012
DRREDDY.NS,SELL,2025-02-27 14:10:00+05:30,1119.949951171875,1122.48012231728,1122.9825683111683,41.18352697286565,0.0538454896031908,0.20202644329959366
DRREDDY.NS,SELL,2025-02-28 09:15:00+05:30,1116.949951171875,1122.0699828828056,1123.1758779765282,34.002184071697215,0.004392233716089322,0.3656158178266427
DRREDDY.NS,SELL,2025-02-28 13:15:00+05:30,1120.0999755859375,1121.31567197599,1121.4111136596453,47.02730986573798,0.6409560356180464,1.0453885358842485
DRREDDY.NS,SELL,2025-02-28 15:05:00+05:30,1117.0999755859375,1120.4932469789314,1121.577863532798,33.06617311477786,-0.028417229680144374,0.37891211934472663
EICHERMOT.NS,SELL,2025-02-21 13:00:00+05:30,4935.5,4941.9008827697835,4942.290542761099,46.14893718416236,2.003542574772837,3.0780558478982383
EICHERMOT.NS,SELL,2025-02-21 13:45:00+05:30,4938.5498046875,4942.994310208684,4943.591672817479,47.28062604388707,0.972242030333291,1.8396213170982862
EICHERMOT.NS,SELL,2025-02-24 14:35:00+05:30,5018.0,5025.19654691374,5027.557762171577,44.13473025538591,1.8447381928426694,4.083590412484186
EICHERMOT.NS,SELL,2025-02-24 14:55:00+05:30,5025.0498046875,5027.159134170462,5027.6523861200685,49.01862757325785,1.308522901476863,2.5642846877015395
EICHERMOT.NS,SELL,2025-02-25 10:35:00+05:30,5029.39990234375,5035.927720099625,5036.285350077547,46.78926467248378,2.5749095963492437,3.9716850774581767
EICHERMOT.NS,SELL,2025-02-28 09:15:00+05:30,4888.64990234375,4921.272825156911,4923.3640730589395,33.459545446246345,2.12299746532517,2.784272233549509
GRASIM.NS,SELL,2025-02-21 13:00:00+05:30,2433.85009765625,2437.2806484853163,2437.710972266664,46.36518824602052,3.084696543930022,4.623684147162035
GRASIM.NS,SELL,2025-02-24 09:15:00+05:30,2414.14990234375,2425.29328730264,2428.708701124576,28.357164277912556,-1.3018146644867556,-0.6510552005034893
GRASIM.NS,BUY,2025-02-24 14:30:00+05:30,2393.199951171875,2392.098247802181,2392.0667378849917,49.722337689914106,-1.9761459584105978,-3.152804125746398
GRASIM.NS,SELL,2025-02-25 11:10:00+05:30,2391.5,2394.1478595478957,2394.7308295306366,46.40996326167009,0.6156414351548847,1.0590589695501105
GRASIM.NS,BUY,2025-02-25 15:00:00+05:30,2378.75,2378.319690440224,2378.1758161361768,49.616597102516145,-1.0454461473132142,-1.7419365047345603
GRASIM.NS,SELL,2025-02-28 11:50:00+05:30,2342.5,2346.828051059001,2348.029743110491,43.01659474838401,0.7958785211289978,1.7942396943626402
HCLTECH.NS,SELL,2025-02-21 13:45:00+05:30,1696.25,1698.9456272020616,1699.6623201306718,40.89047811302613,0.8889787591344884,1.6529741190741958
HCLTECH.NS,SELL,2025-02-21 14:50:00+05:30,1698.300048828125,1698.6208470583088,1698.7078867477373,48.88600242969391,-0.014865908727870192,0.08160932649868019
